word,mean,synonym
hate,ghét,
loathe,rất ghét,
detest,rất ghét,
despise,"khinh thường, coi thường",
can’t stand,"không chịu nổi (làm gì, điều gì)",
like,"thích, yêu thích",
love,"thích, yêu thích",
enjoy,"thích, yêu thích",
relax,thư giãn,
rest,sự nghỉ ngơi,
,nghỉ ngơi,
arrange,"sắp xếp, lên kế hoạch (= plan)",
do/ play (sport),chơi (thể thao),
garden,"vườn, làm vườn",
do DIY (= do it yourself),tự làm,
pub,quán rượu (bán đồ uống có cồn và đồ ăn),
competition,"sự cạnh tranh, cuộc thi đấu",
eager,háo hức,
interest,sở thích,
involvement,sự tham gia,
arrival,sự đến,
phrasal verb,,
carry on,tiếp tục,continue
get around to,bắt đầu,start doing after planning
get up to,"làm gì đó không nên, không được ủng hộ",
go off,dừng thích làm gì,stop liking
calm down,bình tĩnh lại,relax
put off,trì hoãn,delay
be into,thích,like
call off,hủy bỏ,cancel
hang out (with),đi chơi với ai,
phrasal,,
as well as,cũng như,
as long as,miễn là,
I’d rather + V-inf,thà làm gì đó,
regret (not) + V-ing,hối hận vì đã (không) làm gì,
be worth + V-ing,đáng làm,
a part of,một phần của,
be keen onbe fond ofbe a fan of,thích làm điều gì,
be good/ bad at,làm tốt/ làm dở điều gì,
be crazy/ mad about,"phát điên về điều gì đó (quá thích, bị ám ảnh)",
concentrate on,tập trung vào,
involve in/ join in/ participate in,tham gia vào,
listen to,lắng nghe,
go for a walk,đi dạo,
can’t help (+ V-ing),"không thể làm gì, bất lực",
idioms,,
Let/ Blow off steam,xả giận,
Put your feet up,nghỉ ngơi cho khuây khỏa đầu óc,
Take five,dùng để nói với ai giữa giờ làm hoặc giờ học: “Hãy nghỉ giữa giờ khoảng 5-10 phút”,
Be on the ball/ be on fire,"nhanh nhạy hiểu vấn đề gì đó, phản xạ nhanh trước một tình huống",
