word,mean,synonym,category
spend (time),dành thời gian,,Time and how we use it
take (time),mất thời gian,,Time and how we use it
kill (time),giết thời gian,,Time and how we use it
schedule,"kế hoạch, lịch trình, lên kế hoạch",,Time and how we use it
persuade,thuyết phục,,Time and how we use it
fortnight,hai tuần,,Time and how we use it
sunrise,bình minh,,Time and how we use it
sunset,hoàng hôn,,Time and how we use it
noon,buổi trưa,,Time and how we use it
midnight,nửa đêm,,Time and how we use it
punctual,đúng giờ,,Time and how we use it
premature,"sớm, trước",,Time and how we use it
pressure,áp lực,,Time and how we use it
wasteful,phí phạm,,Time and how we use it
clockwise,theo chiều kim đồng hồ,,Time and how we use it
messy,"bề bộn, lộn xộn",,Time and how we use it
timeless,vô tận,,Time and how we use it
phrasal verb,,,Time and how we use it
clock in,ghi giờ đến làm,,Time and how we use it
clock out,ghi giờ tan làm,,Time and how we use it
take off,nghỉ phép,,Time and how we use it
press on,tiếp tục làm việc,continue working,Time and how we use it
run out (of),"hết, không còn",,Time and how we use it
get together,họp mặt,,Time and how we use it
fit in,có đủ thời gian/ khoảng trống để làm gì đó,,Time and how we use it
hang out (with),dành thời gian (với),spend time with,Time and how we use it
mess around,phí thời gian làm gì,waste time doing sth,Time and how we use it
phrasal,,,Time and how we use it
as soon as,càng sớm càng,,Time and how we use it
by the time,"vào lúc, vào thời điểm mà",,Time and how we use it
on/ at the point of,tại thời điểm,,Time and how we use it
take ages,mất thời gian,,Time and how we use it
from time to time,thỉnh thoảng,,Time and how we use it
at this point,"tại thời điểm này, tại giai đoạn này",,Time and how we use it
no longer,"không kéo dài, không dài lâu",,Time and how we use it
idioms,,,Time and how we use it
around the corner,sớm,soon,Time and how we use it
in a flash,rất nhanh,fast,Time and how we use it
in the nick of time,vừa kịp lúc,just in time,Time and how we use it
lose track of time,"mất dấu thời gian, mất nhận thức về thời gian",,Time and how we use it
take the easy way out,"đi con đường ngắn nhất, giải quyết việc gì bằng cách đơn giản nhất",,Time and how we use it
word,,,
fussy,cầu kỳ,,Eating and drinking
picky,kén ăn,,Eating and drinking
sip,"(v) uống từng ngụm, nhâm nhi",,Eating and drinking
sip,"(n) ngụm, hớp",,Eating and drinking
try (food),nếm thử (đồ ăn),,Eating and drinking
swallow,nuốt,,Eating and drinking
cook,(n) đầu bếp,,Eating and drinking
cook,(v) nấu ăn,,Eating and drinking
bake,"nướng, nung",,Eating and drinking
boil,luộc,,Eating and drinking
microwave,(n) lò vi sóng,,Eating and drinking
microwave,(v) hâm nóng bằng lò,,Eating and drinking
prepare,"chuẩn bị, sơ chế",,Eating and drinking
fry,"chiên, rán",,Eating and drinking
steam,hấp,,Eating and drinking
chop,(n) miếng thịt sườn,,Eating and drinking
chop,(v) chặt nhỏ,,Eating and drinking
cut,cắt (thành từng mảnh),,Eating and drinking
slice,"(n) miếng mỏng, lát mỏng",,Eating and drinking
slice,(v) thái lát,,Eating and drinking
mince,(n) thịt băm,,Eating and drinking
mince,(v) băm nhỏ,,Eating and drinking
oven,lò nướng,,Eating and drinking
grill,vỉ nướngđồ nướng,,Eating and drinking
mix,trộn,,Eating and drinking
stir,"khuấy, xào",,Eating and drinking
whisk,"đánh kem, khuấy kem",,Eating and drinking
beat,"đánh tơi, khuấy",,Eating and drinking
blend,(n) hỗn hợp,,Eating and drinking
blend,(v) trộn lẫn nhau,,Eating and drinking
kettle,ấm đun nước,,Eating and drinking
tea pot,ấm trà,,Eating and drinking
dine,ăn tối,,Eating and drinking
consume,ăn uống (nói chung),,Eating and drinking
cuisine,ẩm thực,,Eating and drinking
dish,(1) món ăn,,Eating and drinking
dish,"(2) cái đĩa (có phần đũng sâu, đựng món ăn có nước sốt)",,Eating and drinking
satisfy,làm hài lòngđáp ứng,,Eating and drinking
disappoint,thất vọng,,Eating and drinking
endorse,"tán thành, đồng ý",,Eating and drinking
vegetarian,người ăn chay,,Eating and drinking
chef,bếp trưởng,,Eating and drinking
freezer,"tủ lạnh, tủ đông",,Eating and drinking
container,"vật đựng (chai, lọ,…)",,Eating and drinking
preference,sự thích hơn,,Eating and drinking
recommendation,"sự giới thiệu, gợi ý",,Eating and drinking
phrasal verb,,,Eating and drinking
go for,chọn,choose,Eating and drinking
eat out,ăn ở nhà hàng,eat in a restaurant,Eating and drinking
put off,làm mất hứng,,Eating and drinking
eat/ drink up,ăn/ uống hết sạch,,Eating and drinking
try out,thử,,Eating and drinking
throw away/ out,vứt vào thùng rác,,Eating and drinking
wash up,rửa bát đĩa,,Eating and drinking
phrasal,,,Eating and drinking
be keen on,"thích, quan tâm đến cái gì",,Eating and drinking
there is no comparison,không so sánh,,Eating and drinking
to have nothing to do with,không có gì để làm (với ai/ cái gì),,Eating and drinking
leave sb satisfied,làm ai đó hài lòng,,Eating and drinking
come as a disappointment,gây thất vọng,,Eating and drinking
be on a diet,ăn kiêng,,Eating and drinking
a piece of,một mẩu,,Eating and drinking
a slice of,một lát,,Eating and drinking
a plate of,một đĩa,,Eating and drinking
a pinch of,một nhúm/ bó,,Eating and drinking
a bar of,một thanh,,Eating and drinking
a jar of,một lọ,,Eating and drinking
a carton of,một thùng,,Eating and drinking
a bottle of,một chai,,Eating and drinking
a lack of,thiếu (cái gì đó),,Eating and drinking
choose between,lựa chọn giữa (2 đối tượng),,Eating and drinking
wait for,đợi,,Eating and drinking
regard as,coi như là,,Eating and drinking
fill with,làm đầy (với cái gì đó),,Eating and drinking
be bothered with,bị làm phiền (bởi ai/ cái gì),,Eating and drinking
idioms,,,Eating and drinking
take with a pinch of salt,"đừng tin ai quá đà, cẩn trọng",,Eating and drinking
a piece of cake,dễ như ăn bánh,,Eating and drinking
hard to swallow,"khó chấp nhận, ở trong hoàn cảnh khó khăn",,Eating and drinking
as easy as pie,dễ ợt,,Eating and drinking
spill the beans,bật mí,,Eating and drinking
pig out,ăn nhiều,,Eating and drinking
word,,,
injure,bị thương,,Health and fitness
damage,bị thương,,Health and fitness
dislocate,trật khớp,,Health and fitness
healthy,khỏe mạnh,,Health and fitness
sore,"đau, nhức nhối",,Health and fitness
hurt,"đau, nhức nhối",,Health and fitness
painful,"đau, nhức nhối",,Health and fitness
antibiotics,thuốc kháng sinh,,Health and fitness
medicine,thuốc (nói chung),,Health and fitness
pill,viên thuốc,,Health and fitness
tablet,viên thuốc,,Health and fitness
vaccines,vắc-xin,,Health and fitness
illness,"bệnh tật, sự đau ốm",,Health and fitness
disease,"bệnh tật, sự đau ốm",,Health and fitness
exhaustion,"sự mệt mỏi, kiệt sức",,Health and fitness
tiredness,"sự mệt mỏi, kiệt sức",,Health and fitness
contagious,"truyền nhiễm, dễ lây lan",,Health and fitness
catchy,"truyền nhiễm, dễ lây lan",,Health and fitness
cure,chữa,,Health and fitness
recover,hồi phục,,Health and fitness
get over,vượt qua (bệnh tật),,Health and fitness
vomit,nôn mửa,,Health and fitness
puke,nôn mửa,,Health and fitness
train,"tập luyện, tập thể dục",,Health and fitness
exercise,"tập luyện, tập thể dục",,Health and fitness
practice,"tập luyện, tập thể dục",,Health and fitness
workout,"tập luyện, tập thể dục",,Health and fitness
faint,(adj) yếu ớt,,Health and fitness
faint,(v) ngất xỉu,,Health and fitness
"break (a bone, a leg)","gãy (xương, chân…)",,Health and fitness
bruise,(n) vết bầm,,Health and fitness
bruise,(v) làm thâm tím,,Health and fitness
scrape,(n) vết xước,,Health and fitness
scrape,(v) làm xước,,Health and fitness
scratch,(v) làm xước,,Health and fitness
ligaments,dây chằng,,Health and fitness
tendons,gân,,Health and fitness
muscles,cơ bắp,,Health and fitness
awareness,sự nhận thức,,Health and fitness
suffering,"cảm giác đau khổ, đau đớn",,Health and fitness
swelling,vết sưng tấy,,Health and fitness
phrasal verb,,,Health and fitness
feel up (to),cảm thấy đủ khỏe mạnh (để làm gì),,Health and fitness
cut down (on),giảm số lượng (của cái gì),,Health and fitness
give up,bỏ cuộc,stop doing,Health and fitness
look after,chăm sóc,take care of,Health and fitness
put on,tăng cân,gain weight,Health and fitness
pass out,"ngất đi, mất nhận thức",,Health and fitness
work out,tập thể dục,do exercise,Health and fitness
go down with,trở nên yếu đi,,Health and fitness
bring sth on,gây ra bệnh gì,,Health and fitness
warm up,khởi động,,Health and fitness
swell up,sưng lên,,Health and fitness
get rid of,"bỏ đi, từ bỏ",,Health and fitness
pull through,vượt qua khó khăn,,Health and fitness
pass away,qua đời,,Health and fitness
sign up for,"đăng ký tham gia (câu lạc bộ, đội nhóm,..)",,Health and fitness
phrasal,,,Health and fitness
keep in shape,giữ dáng,,Health and fitness
be hurt/ in pain/ injured,"bị thương, bị đau",,Health and fitness
complain of/ about,phàn nàn về cái gì,,Health and fitness
worry about,lo lắng về điều gì,,Health and fitness
be tired of,mệt bởi điều gì,,Health and fitness
be sick of,mệt bởi điều gì,,Health and fitness
be in danger of,gặp nguy hiểm,,Health and fitness
suffer from,chịu đựng cái gì,,Health and fitness
exposure to,tiếp xúc với,,Health and fitness
be prone to sth,dễ bị (làm sao),,Health and fitness
as far as I know,theo như tôi được biết,,Health and fitness
likely to result in,có khả năng dẫn đến,,Health and fitness
take care,"bảo trọng, giữ gìn sức khỏe",,Health and fitness
as (one) can imagine,như (một người) có thể tưởng tượng,,Health and fitness
be somewhat (+ adj),"có phần, hơi",,Health and fitness
idioms,,,Health and fitness
get your heart pumping,hoạt động/ thích thú,,Health and fitness
push yourself,"nỗ lực, cố gắng, thúc đẩy bản thân",make an effort,Health and fitness
risk life and limb,mạo hiểm,,Health and fitness
feel like sb is made of glass,ai đó dễ bị thương,,Health and fitness
follow suit,"bắt chước, làm theo ai đó",,Health and fitness
word,,,
meet (people),gặp gỡ (mọi người),,People and their lives
know (people),gặp gỡ (mọi người),,People and their lives
support,"hỗ trợ, ủng hộ",,People and their lives
assist,"hỗ trợ, ủng hộ",,People and their lives
inhabit,cư trú,,People and their lives
reside,cư trú,,People and their lives
inhabitant,cư dân,,People and their lives
residential,(thuộc) dân cư/ nơi ở,,People and their lives
resident,người dân,,People and their lives
chat,trò chuyện,,People and their lives
chat,nói chuyện phiếm,,People and their lives
gossip,nói chuyện phiếm,,People and their lives
boast,(v) khoe khoang,,People and their lives
boast,(n) sự khoe khoang,,People and their lives
imitate,noi gương bắt chước,,People and their lives
sociable,chan hòa,,People and their lives
talkative,nói nhiều,,People and their lives
chatty,thích nói chuyện phiếm,,People and their lives
outgoing,"cởi mở, thân thiện",friendly,People and their lives
forbid,cấm,ban,People and their lives
permit,cho phép,,People and their lives
solitary,đơn độc,,People and their lives
solitary,thích ở một mình,,People and their lives
envious,"ghen tị, thèm muốn",jealous,People and their lives
lively,sống động,,People and their lives
stressed,căng thẳng,,People and their lives
personality,tính cách,,People and their lives
relationship,mối quan hệ,,People and their lives
argumentative,có lý lẽ,,People and their lives
willing,sẵn sàng,,People and their lives
residence,"khu dân cư, nhà, dinh thự",,People and their lives
phrasal verb,,,People and their lives
bring up,nêu vấn đề,,People and their lives
grow up,lớn lên,,People and their lives
look up to,ngưỡng mộ,,People and their lives
get along with sb,hòa thuận với ai đó,,People and their lives
stick to,theo sát (kế hoạch),,People and their lives
chill out,thư giãn,relax,People and their lives
get into,bắt đầu thích điều gì,,People and their lives
go off,dừng thích điều gì,,People and their lives
stay up,thức,,People and their lives
fit in with,hòa nhập (với ai),,People and their lives
stand out,nổi bật,be different,People and their lives
put up with,chịu đựng,stand for,People and their lives
phrasal,,,People and their lives
at its height,(ai/ cái gì) đang ở trên đỉnh cao,,People and their lives
at that time,vào khoảng thời gian đó,,People and their lives
ever since,"kể từ đó, sau đó",,People and their lives
for a long time to come,trong thời gian dài sắp tới,,People and their lives
on the outskirts,"ở bên lề, rìa",,People and their lives
get/ be married to,cưới ai,,People and their lives
have fun with,vui vẻ với ai,,People and their lives
dream of/ about,mơ ước về điều gì,,People and their lives
approve of sth,"phê duyệt, chấp thuận điều gì",,People and their lives
be in favour of,ủng hộ điều gì,,People and their lives
live in,sống ở,,People and their lives
laugh at,cười (bởi điều gì),,People and their lives
talk to sb,nói chuyện với ai,,People and their lives
idioms,,,People and their lives
give (sb) a hand,giúp đỡ ai đó,,People and their lives
keep an eye on sb,để mắt đến ai đó,,People and their lives
have a cat nap,chợp mắt,,People and their lives
give the green light,cho phép,give permission,People and their lives
be a know it all,làm như thể cái gì cũng biết,,People and their lives
word,,,
repair,sửa chữa,,"Technological advances, communication and the media"
fix,sửa chữa,,"Technological advances, communication and the media"
mend,sửa chữa,,"Technological advances, communication and the media"
progress,(n) sự tiến bộ,,"Technological advances, communication and the media"
progress,(v) tiến bộ,,"Technological advances, communication and the media"
progression,tiến triển,,"Technological advances, communication and the media"
investigate,khảo sát,,"Technological advances, communication and the media"
research,(n) cuộc nghiên cứu,,"Technological advances, communication and the media"
research,(v) nghiên cứu,,"Technological advances, communication and the media"
investigation,cuộc khảo sát,,"Technological advances, communication and the media"
occur,xảy ra,,"Technological advances, communication and the media"
occurrence,"sự xảy ra, sự kiện",,"Technological advances, communication and the media"
aim,(n) mục tiêu,,"Technological advances, communication and the media"
aim,"(v) nhắm vào, tập trung vào (= focus)",,"Technological advances, communication and the media"
objective,(n) mục tiêu,,"Technological advances, communication and the media"
objective,(adj) khách quan,,"Technological advances, communication and the media"
method,phương pháp,,"Technological advances, communication and the media"
reason,nguyên do,,"Technological advances, communication and the media"
cause,nguyên do,,"Technological advances, communication and the media"
certain,chắc chắn,,"Technological advances, communication and the media"
expect,"mong đợi, kỳ vọng",,"Technological advances, communication and the media"
expectation,sự kỳ vọng,,"Technological advances, communication and the media"
intend (+ to V),có ý định (làm gì),,"Technological advances, communication and the media"
intention,ý định,,"Technological advances, communication and the media"
attempt,(n) sự nỗ lực(v) nỗ lực (= try),,"Technological advances, communication and the media"
test,thử nghiệm,,"Technological advances, communication and the media"
consider,cân nhắc,,"Technological advances, communication and the media"
reckon,"cho là, nghĩ là (= think)",,"Technological advances, communication and the media"
