word,mean
hate,ghét
loathe,rất ghét
detest,rất ghét
despise,"khinh thường, coi thường"
can’t stand,"không chịu nổi (làm gì, điều gì)"
like,"thích, yêu thích"
love,"thích, yêu thích"
enjoy,"thích, yêu thích"
relax,thư giãn
rest,sự nghỉ ngơi
rest,nghỉ ngơi
arrange,"sắp xếp, lên kế hoạch (= plan)"
do/ play (sport),chơi (thể thao)
garden,(n) vườn
garden,(v) làm vườn
do DIY (= do it yourself),tự làm
pub,quán rượu (bán đồ uống có cồn và đồ ăn)
competition,sự cạnh tranh
competition,cuộc thi đấu
eager,háo hức
interest,sở thích
involvement,sự tham gia
arrival,sự tham gia
book,đặt bàn
reserve,đặt bàn
miss,"bỏ lỡ, mất"
lose,"bỏ lỡ, mất"
find,"thấy ai/ cái gì, tình cờ gặp"
come across,"thấy ai/ cái gì, tình cờ gặp"
arrive at,đến
get to,đến
reach,đến
feel like/ fancy,cảm thấy
choose,lựa chọn
pick,lựa chọn
go for,lựa chọn
reservation,sự đặt trước
arrangement,sự sắp xếp
choosy,"kén chọn, chọn tỉ mỉ"
sightseeing,"tham quan, ngắm cảnh"
sunbathe,tắm nắng
payment,sự thanh toán
emigration,sự di cư
immigration,sự nhập cư
lifestyle,lối sống
receptionist,nhân viên lễ tân
accommodation,"chỗ ở (khi đi du lịch, công tác)"
pass (an exam),thi đỗ
fail (an exam),thi trượt
take/ do (an exam),làm bài thi
achieve/ get (good grades),đạt điểm tốt
handle,"xoay sở, ứng phó"
revise,"ôn tập, luyện tập"
review,"ôn tập, luyện tập"
go over,"ôn tập, luyện tập"
cram,"ôn tập, luyện tập"
understand,hiểu
essay,"bài tiểu luận, bài viết"
writing,"bài tiểu luận, bài viết"
recognize,nhận ra
degree,bằng do các trường Đại học cấp
certificate,"chứng nhận, chứng chỉ (cho một khóa học, một kỹ năng cụ thể)"
qualification,năng lực chuyên môn
objective,mục tiêu
colleague,đồng nghiệp
colleague,bạn cùng lớp
classmate,bạn cùng lớp
lecture,bài giảng
lecture,bài thuyết trình
employ,tuyển dụng
employed,có việc làm
earnings,"thu nhập, các khoản lời"
hire,thuê (người làm)
contract,(n) bản hợp đồng
contract,"(v) cam kết, giao kèo"
job,việc làm
work,công việc
career,sự nghiệp
income,"thu nhập (chỉ tất cả nguồn tiền bao gồm lương, hoa hồng,… bạn có)"
salary,tiền lương (cố định hàng tháng/ hàng năm)
wage,"tiền công (theo công suất làm việc, giờ làm…)"
sack,"sa thải, cách chức"
fire,"sa thải, cách chức"
lose a job,mất việc
give up a job,"bỏ việc, nghỉ việc"
resign,từ chức
retire,nghỉ hưu
give/hand in a notice,chính thức thông báo sắp nghỉ việc
start/ begin work,bắt đầu đi làm
take a break,nghỉ ngơi
company,công ty nói chung (kinh doanh tạo ra lợi nhuận từ việc sản xuất/ bán các sản phẩm và dịch vụ)
firm,công ty (chuyên nghiệp về một lĩnh vực cụ thể)
firm,"VD: law firm (công ty luật), accounting firm (công ty kế toán)"
business,tổ chức thương mại hoạt động kinh doanh
